type_label,type_start,type_end,subtype,title_de,description_de,title_en,part,division,subsection,group_label,group_title,grundtvig_no,grimm_no,page
461,461,461,,Drei Hare vom Barte des Teufels,"Weissagung, Briefwechsel und daraus entstehende Heirat (vgl. No. 930); Höllenfahrt, die unterwegs gestellten Fragen werden beantwortet; der reiche Mann muss Fährmann werden (Grimm No. 29, Gg No. 68).",Three hairs from the devil's beard,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,460–462,Die Fragen,68,"29, Gg No",20
465,465,465,,Der um sein schönes Weib Beneidete,,The man envied for his beautiful wife,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,,,,,20
465 A,465,465,A,Die Suche nach dem Unbekannten,"die Schwanenjungfrauen; der neidische König begehrt das Weib und trägt dem Manne schwer ausführbare Dinge auf, u. a. das Unbekannte (Essen) zu suchen (der Umtausch der Gegenstände, vgl. No. 569); mit Hülfe der Gattin gelingt dies.",The quest for the unknown,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,,,,,20
465 B,465,465,B,Die Suche nach der lebenden Harfe,ein Tier als Gattin; der König befiehlt u. a. die lebende Harfe zu suchen; es gelingt dem Manne mit Hülfe seiner Gattin.,The quest for the living harp,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,,,,,21
465 C,465,465,C,Ein Auftrag in der anderen Welt,ein Mann erhält sein Weib von Gott; der König schickt ihn mit einem Auftrag in die andere Welt (Gott aus dem Himmel zu holen u. a.); der Mann vollbringt ihn mit Hülfe seiner Gattin.,An errand to the other world,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,,,,,21
466,466,466,,Die Höllenfahrt des Jünglings,"er errettet drei Jungfrauen von den Drachen (vgl. No. 300), erlöst eine in einen Lindwurm verwandelte Prinzessin aus der Verzauberung und gewinnt die Hand der Prinzessin (Gg No. 12). [Das Herzblut des Drachen als Heilmittel für den König, siehe No. 305].",The youth's journey to hell,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,,,12,,21
470,470,470,,Die beiden im Leben und im Tode vereinten Freunde,ein Mann folgt seinem gestorbenen Freunde in die andere Welt und verweilt dort lange (Gg No. 82).,The two friends united in life and death,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,,,82,,21
475,475,475,,Der Mann als Heizer des Höllenkessels,"im Kessel sind seine früheren Herren; er bekommt als Lohn ein Ränzel voll Kehrdreck, der sich in Gold verwandelt; der Gastwirt raubt ihm das Gold, mit Hülfe des Teufels verschafft er es sich wieder (vgl. No. 360, 361) (Grimm No. 100, Gg No. 57 C).",The man as stoker of hell's kettle,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,,,57 C,"100, Gg No",21
480,480,480,,Die Spinnerinnen am Brunnen,"die rechte Tochter und die Stieftochter am Brunnen oder der rollende Kuchen; die rechte Tochter melkt auf der Wanderung die Kuh, schüttelt den Apfelbaum u. s. w. (vgl. No. 510); im Dienst der Hexe; die rechte Tochter erhält ein gutes Geschenk (Gold im Schrein), die Stieftochter ein böses (Feuer im Schrein), oder die Kuh, der Apfelbaum u. a. töten sie auf dem Rückwege (vgl. No. 403) (Grimm No. 24, Gg No. 37).",The spinning-women by the well,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliche Aufgabe,,,37,"24, Gg No",21
500,500,500,,Der Name des Unholdes (Titeliture),"das Mädchen erfährt den Namen des ihr beistehenden Unholdes (Grimm No. 55, Gg No. 50 A).",The name of the helper (Titeliture),II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,"500, 501",Die Spinnerin,50 A,"55, Gg No",22
501,501,501,,Drei alte Weiber als Helferinnen,"zur Hochzeit eingeladen (Grimm No. 14, Gg No. 50 B).",Three old women as helpers,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,"500, 501",Die Spinnerin,50 B,"14, Gg No",22
502,502,502,,Der wilde Mann,"der Königssohn setzt den Gefangenen in Freiheit, dieser wird sein Diener und Helfer (Ritt auf den Glasberg, vgl. No. 530; Rettung der Königstochter von dem Meerungeheuer, vgl. No. 300; Dienst als Hirt; Krieg oder andere Abenteuer); der Jüngling bekommt die Prinzessin (Grimm No. 136, Gg No. 8 B).",The wild man,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,,,8 B,"136, Gg No",22
505,505,505,,Der König wird betrogen,durch den Beistand des Toten gewinnt der Jüngling die Prinzessin und das Schloss (vgl. No. 545 A und B) (Gg No. 67 A).,The king is deceived,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,505–508,Der dankbare Tote,67 A,,22
506,506,506,,,"Der Jüngling befreit die Prinzessin aus Räuberhänden; wird ins Meer geworfen; ein anderer gibt vor, der Retter der Prinzessin zu sein (Gg No. 67 B).",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,505–508,Der dankbare Tote,67 B,,22
507,507,507,,Der Kopf des Unholdes,die Prinzessin besucht heimlich den Unhold; der Helfer schlägt dem Unholde den Kopf ab (vgl. No. 306) (Gg No. 67 C).,The ogre's head,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,505–508,Der dankbare Tote,67 C,,22
510 A,510,510,A,Aschenbrödel,"die beiden Stiefschwestern; die Stieftochter am Grabe ihrer eigenen Mutter, die ihr Beistand leistet (melkt die Kuh, schüttelt den Apfelbaum, hilft dem Alten, vgl. No. 480); das Mädchen besucht dreimal in schönen Gewändern die Kirche und lässt ihren Schuh zurück; Probe, zu wessen Fusse der Schuh passt (Zum ersten Teile des Märchens vgl. No. 403) (Grimm No. 21, Gg No. 47).",Cinderella,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,,,47,"21, Gg No",22
510 B,510,510,B,"Das goldene, das silberne und das Sternenkleid","Geschenk des Vaters, der seine Tochter heiraten will; das Mädchen als Magd des Königssohnes, der mehrere Gegenstände auf sie wirft; dreimaliger Kirchgang und der vergessene Schuh; Hochzeit (vgl. No. 451) (Grimm No. 65, Gg No. 47).","The dress of gold, of silver, and of stars",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,,,47,"65, Gg No",22
511,511,511,,"Einäuglein, Zweiäuglein und Dreiäuglein","Zweiäuglein wird von der Mutter schlecht behandelt; soll Ziegen hüten und hungert; eine weise Frau verschafft dem Mädchen einen Zaubertisch mit Speisen; die Schwestern auf der Lauer; der wunderbare Baum, dessen Früchte nur Zweiäuglein pflücken kann; sie wird die Gemahlin eines Grafen (vgl. No. 403) (Grimm No. 130).","One-Eye, Two-Eyes, and Three-Eyes",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,,,,130,23
512,512,512,,Die weggejagte Schwester,"die älteren Schwestern jagen die jüngste weg; auf den Rat eines alten Mannes begibt sie sich auf ein Schloss in Dienste; der Alte in der Kiste gibt gute Rathschläge; der Sohn des Schlossherrn verlobt sich mit dem Mädchen, will sich ihr Schloss ansehn; der Alte weiss ihr ein Schloss zu verschaffen (vgl. No. 545).",The banished sister,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,,,,,23
513 A,513,513,A,Sechse kommen durch die ganze Welt,"die Gehilfen verrichten am Hofe des Königs für den Jüngling verschiedene Taten (Grimm No. 71, 134, Gg No. 9 A und B).",Six make their way through the whole world,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,"513, 514",Die Gehilfen (vgl. No. 653),9 A und B,"71, 134, Gg No",23
513 B,513,513,B,Das zu Wasser und zu Lande fahrende Schiff,(Gg No. 9).,The ship that goes over water and land,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,"513, 514",Die Gehilfen (vgl. No. 653),9,,23
514,514,514,,Der Geschlechtswechsel,die Schwester wird Soldat an Stelle des Bruders; heiratet die Tochter des Königs; wird davon gejagt und von den Gefährten gerettet; der Geschlechtswechsel in der Behausung der Zauberin; die Königstochter hält zu ihrem Manne (Gg No. 9 D).,The change of sex,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,"513, 514",Die Gehilfen (vgl. No. 653),9 D,,23
515,515,515,,Der Hirtenknabe,"der Knabe findet drei Gegenstände (Schuh, Mütze u. s. w.), die er einem kleinen Jungen, Mädchen und alten Manne wiedergibt; sie versprechen ihm beizustehen; mit ihrer Hülfe bringt er die verschwundene Königstochter zurück und gewinnt ihre Hand.",The shepherd boy,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,,,,,23
516,516,516,,Der treue Johannes,das Bild der Königstochter; sie wird auf einem Schiffe entführt; das Gespräch der Raben; der treue Diener zu Stein verwandelt: wieder zum Leben erweckt (Grimm No. 6).,Faithful John,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,516–518,Der Gefährte des Königssohnes auf dessen Brautfahrt (vgl. No. 851),,6,24
517,517,517,,"Der Knabe, der in mancherlei Lehre war","die Erlernung der Vogelsprache (vgl. No. 670, 671); (die Prinzessin, die ihr Kind umgebracht hat, vgl. No. 781); vom Prinzen belohnt kehrt der Jüngling als grosser Herr nach Hause zurück.",The boy who was apprenticed to many trades,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,516–518,Der Gefährte des Königssohnes auf dessen Brautfahrt (vgl. No. 851),,,24
518,518,518,,,"Teufel (Riesen) streiten sich um Zaubergegenstände, mit deren Hilfe der Jüngling die dem Königssohne auferlegten Arbeiten verrichtet.",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,516–518,Der Gefährte des Königssohnes auf dessen Brautfahrt (vgl. No. 851),,,24
530,530,530,,Die Prinzessin auf dem Glasberge,"der Jüngling reitet auf den Berg und gewinnt die Prinzessin (in verschiedenen Verbindungen, häufig mit dem Märchen vom Drachentöter verknüpft, vgl. No. 300 und 502) (Gg No. 3 A).",The princess on the glass mountain,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,3 A,,24
531,531,531,,Das kluge Pferd,"hilft dem Jüngling; im Dienst des Königs; schafft die Königin herbei, hat auf den Rat des Pferdes Fleisch, Brot u. s. w. mit, wodurch er den Beistand verschiedener Tiere gewinnt (Grimm No. 126, Gg No. 10).",The clever horse,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,10,"126, Gg No",24
532,532,532,,Das Pferd als Helfer,"rät dem Jüngling, nichts anderes zu sagen als „ich weiss nicht“; (die Rettung der Prinzessin von dem Meerungeheuer, vgl. No. 300), die Jagd der Freier und Krieg.",The horse as helper,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,,,24
533,533,533,,Der sprechende Pferdekopf,"auf der Reise zu ihrem Bräutigam wird die Königstochter von ihrer Kammerjungfer gezwungen, mit ihr die Kleider zu tauschen und ihre Stelle einzunehmen; das Pferd der Königstochter wird getötet, aber durch den sprechenden Pferdekopf, der an der Wand hängt, kommt der Betrug zu Tage (vgl. No. 403) (Grimm No. 89).",The speaking horse-head,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,,89,24
540,540,540,,Der Hund im Meere,"der Hund rettet einen Mann, der sich ertränken will; sie gelangen auf den Boden des Meeres, wo der Mann den König samt seinem Sohne (= dem Hunde) und seinem Reiche erlöst (Gg No. 86). [Der Drachentöter, siehe No. 300]. [Die ungetreue Schwester, siehe No. 315].",The dog in the sea,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,86,,24
545 A,545,545,A,Das Katzenschloss,"der Knabe erbt eine Kuh, das Mädchen eine Katze; die Katze hilft dem Mädchen, das sich mit einem Prinzen verlobt und nimmt das Schloss des Riesen für das Mädchen in Besitz (vgl. No. 505, 512).",The cat castle,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,,,25
545 B,545,545,B,Der gestiefelte Kater (oder der Fuchs als Fürsprecher),"der Kater überredet unterwegs die Hirten u. a., sich für die Schlossdiener des Knaben auszugeben und nimmt das Schloss der Schlange (des Zauberers) in Besitz.",Puss in Boots (or the fox as advocate),II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,,,25
550,550,550,,"Der Vogel, das Pferd und die Königstochter","drei Königssöhne ziehen nach einander aus, um den wunderbaren Vogel herbeizuschaffen; es gelingt dem jüngsten mit Hilfe eines Tieres (Wolf, Fuchs); auf der Rückkehr rettet er seine Brüder, die ihn dann umbringen und sich des Vogels bemächtigen; die Königstochter sucht den Vater ihres Kindes; schliesslich nimmt alles ein gutes Ende (Grimm No. 57, Gg No. 13).","The bird, the horse, and the king's daughter",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,13,"57, Gg No",25
551,551,551,,"Die Söhne ziehen aus, um für ihren Vater ein wunderbares Heilmittel zu holen","dem jüngsten gelingt es mit Hilfe eines Adlers (Zwerges) und verschiedener Zaubergegenstände; die Brüder bemächtigen sich des Heilmittels u. s. w. (Grimm No. 97). [Der Mann auf der Suche nach seiner verschwundenen Gattin, siehe No. 400].",The sons set out to fetch a wonderful remedy for their father,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,,97,25
552,552,552,,Drei Tiere als Schwäger,drei Prinzessinnen sind mit Tieren verheiratet; die Tiere helfen ihrem Schwager auf seiner Brautfahrt (Gg No. 7).,Three animals as brothers-in-law,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,7,,25
553,553,553,,Der Rabe als Helfer,ein Jüngling schiesst auf einen Raben; Rettung der Prinzessin vom Meerungeheuer (vgl No. 300) (Gg No. 4).,The raven as helper,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,4,,25
554,554,554,,Die dankbaren Tiere,"ein Jüngling erwirbt sich die Dankbarkeit mehrerer Tiere (Ameise, Fisch u. s. w.) und gewinnt mit ihrer Hilfe die Königstochter, indem er drei ihm auferlegte Arbeiten verrichtet (einen Ring aus dem Meere holt u. s. w.) (Grimm No. 17, 62).",The grateful animals,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,,"17, 62",26
555,555,555,,Der Fischer und seine Frau,"der Fisch erfüllt alle Wünsche der Frau eines armen Fischers (schönes Haus u. s. w.); wie sie zuletzt wünscht, der liebe Gott zu werden, geht alles wieder verloren (Grimm No. 19).",The fisherman and his wife,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,,19,26
559,559,559,,Die Mistkäfer,"die Königstochter zum Lachen zu bringen; machen einen drolligen Aufzug; vertreiben später den vornehmeren Freier aus dem Brautbette (vgl. No. 571–574, 621) (Gg No. 20 B).",The dung-beetles,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Helfer,530–559,Tiere als Helfer,20 B,,26
560,560,560,,Der Zauberring,die dankbaren Tiere (Katze und Hund) schaffen ihn wieder herbei (Gg No. 6 B).,The magic ring,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,560–568,"Der Zaubergegenstand wird dem Helden des Märchens entwendet, aber er erzwingt die Rückgabe desselben",6 B,,26
561,561,561,,Aladdin,mit Hilfe eines anderen Zaubergegenstandes wiedergewonnen (Gg No. 6 C).,Aladdin,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,560–568,"Der Zaubergegenstand wird dem Helden des Märchens entwendet, aber er erzwingt die Rückgabe desselben",6 C,,26
562,562,562,,Der Geist im blauen Lichte = Andersens Feuerzeug,"der Geist bringt drei Nächte hinter einander die Königstochter zu dem Jüngling; dieser hat bei der Flucht das blaue Licht liegen lassen, ein Kamerad bringt es ihm ins Gefängnis und es rettet ihn von der Hinrichtung (Grimm No. 116, Gg No. 6 A).",The spirit in the blue light (Andersen's Tinderbox),II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,560–568,"Der Zaubergegenstand wird dem Helden des Märchens entwendet, aber er erzwingt die Rückgabe desselben",6 A,"116, Gg No",26
563,563,563,,"„Tischlein deck dich“, Goldesel und Knüppel aus dem Sack","der Knüppel zwingt den betrügerischen Gastwirt, den Tisch und den Esel herauszugeben (Grimm No. 36, Gg No. 61). align=""right"" valign=""top"" |","""Table, set yourself"", the gold-ass, and the cudgel in the sack",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,560–568,"Der Zaubergegenstand wird dem Helden des Märchens entwendet, aber er erzwingt die Rückgabe desselben",61,"36, Gg No",26
564,564,564,,"Die Provianttasche und „Heraus, Jungens, aus dem Sack!“",der reiche Nachbar entwendet die Gegenstände; durch den Sack wird die Rückgabe der Tasche erzwungen (Gg No. 61).,"The provision-bag and ""Out, boys, out of the sack!""",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,560–568,"Der Zaubergegenstand wird dem Helden des Märchens entwendet, aber er erzwingt die Rückgabe desselben",61,,27
565,565,565,,Die Zaubermühle,"mahlt übermässig viel Mehl, da der Entwender sie nicht zum Stillstand bringen kann; dadurch gelangt der rechtmässige Eigentümer wieder in ihren Besitz; das Mahlen des Salzes im Meere (Grimm No. 103, Gg No. 65).",The magic mill,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,560–568,"Der Zaubergegenstand wird dem Helden des Märchens entwendet, aber er erzwingt die Rückgabe desselben",65,"103, Gg No",27
566,566,566,,Die drei Zaubergegenstände und die wunderbaren Früchte (Fortunatus),"die Rückgabe wird erzwungen durch die Äpfel, von deren Genuss einem Hörner wachsen (Grimm No. 122, Gg No. 63).",The three magic objects and the wonderful fruits (Fortunatus),II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,560–568,"Der Zaubergegenstand wird dem Helden des Märchens entwendet, aber er erzwingt die Rückgabe desselben",63,"122, Gg No",27
567,567,567,,Der Zaubervogel,"wer das Herz des Vogels verschluckt, erlangt Gold (oder die Königswürde); Entwendung und Wiedererlangung des Zaubers (durch das Kraut, das den, der davon geniesst, in einen Esel verwandelt) (Grimm No. 60, 122).",The magic bird,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,560–568,"Der Zaubergegenstand wird dem Helden des Märchens entwendet, aber er erzwingt die Rückgabe desselben",,"60, 122",27
569,569,569,,"Der Ranzen, das Hütlein und das Hörnlein","der jüngste von drei Brüdern findet einen Zaubergegenstand, tauscht ihn gegen einen anderen um und verschafft sich mittelst des neuen auch den alten wieder zurück (Essen, Soldaten u. s. w.); führt Krieg gegen den König (vgl. No. 465 A) (Grimm No. 54).","The knapsack, the little hat, and the little horn",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,,54,27
570,570,570,,Der Hasenhirt,ruft mit Hilfe seiner Zauberpfeife die Hasen zusammen; gewinnt die Hand der Königstochter (Gg No. 18 B).,The rabbit-herd,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,18 B,,27
571,571,571,,„Bleibe hängen!“,"alle bleiben am Zaubergegenstande hängen: Heubündel, Kühe, Knecht, Pfarrer u. s. w. (Grimm No. 64, Gg No. 20 A). [Die Mistkäfer, siehe No. 559]. [Der Jäger, siehe No. 304]. align=""right"" valign=""top"" |","""All stick together!""",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,571–574,"Die Königstochter zum Lachen zu bringen (manchmal als Fortsetzung): wem sich die Königstochter (im Bette) zuwendet, dem wird sie zu Teil (vgl. No. 621)",20 A,"64, Gg No",27
575,575,575,,Die Flügel des Königssohnes,Wettstreit in der Verfertigung des wunderbarsten Gegenstandes: Flügel; der Jüngling fliegt zur Prinzessin (im Turm); von der Richtstätte fliegen beide zusammen davon.,The wings of the king's son,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,,,28
576,576,576,,Das Zaubermesser,"ein Jüngling raubt das Messer aus dem Schlosse der Räuber, tötet sie damit und gewinnt die Tochter des Pfarrers; besiegt mit dem Messer seine Nebenbuhler.",The magic knife,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,,,28
580,580,580,,Der Liebling der Frauen,"in den jüngsten von drei Brüdern verlieben sich alle Frauen (Wunsch); er erhält von Gastwirtinnen drei Zaubergegenstände, mit denen er ein gutes Leben hat (Kleider, Speise und Trank); die Wittwe des Königs verliebt sich in ihn und nimmt ihn zum Manne (Gg No. 88). [Der Gefährte des Königssohnes auf dessen Brautfahrt, siehe No. 518]. [Das zu Wasser und zu Lande fahrende Schiff, siehe No. 513 B]. [Der Mann auf der Suche nach seiner verschwundenen Gattin, siehe No. 400]. [Der klingende Baum, siehe No. 403]. [Die magische Flucht, siehe No. 313, 314].",The darling of the women,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,88,,28
585,585,585,,"Spindel, Weberschiffchen und Nadel","der Königssohn will das Mädchen heiraten, das zugleich das ärmste und das reichste ist; das arme Mädchen besitzt wunderbare Patengeschenke: eine Spindel, die den Königssohn zu ihr führt, eine Nadel, die das Zimmer aufputzt u. s. w. (Grimm No. 188).","Spindle, shuttle, and needle",II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,,188,28
590,590,590,,Der Königssohn und die Armbänder,"der Jüngling, dem die böse Stiefmutter nach dem Leben trachtet, findet zwei Armbänder: stark; Abenteuer, zwei Löwen leisten ihm Beistand; die Stiefmutter lässt ihm die Augen ausstechen; er wird wiederhergestellt und die Stiefmutter erhält ihre Strafe (Gg No. 134).",The king's son and the bracelets,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,134,,28
591,591,591,,Der stehlende Topf,"ein Bauer tauscht seine Kuh gegen einen Topf um, der ihm das Brot, Bier, Geld u. s. w. des reichen Nachbars bringt (Gg No. 62).",The thieving pot,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,62,,28
592,592,592,,Der Jude im Dorn,"Zaubergeige, -karten und -büchse; die Richter müssen tanzen (Grimm No. 110, Gg No. 91).",The Jew in the thorns,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,91,"110, Gg No",29
593,593,593,,Fiddivav,"auf den Rat eines alten Weibes sagt der junge Bettler im Bauernhause nur zu allem „Danke“; legt einen kleinen Stein in die Asche: alle die in der Asche rühren, Tochter, Frau, Pfarrer u. s. w. müssen fortwährend „Fiddivav“ sagen, bis er sie von dem Zauber erlöst; er heiratet die Tochter (Gg No. 92). [Die drei goldenen Söhne, siehe No. 707]. [Der Schmied und der Teufel, siehe No. 330 A].",Fiddivav,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,92,,29
610,610,610,,Die Gesundheitsfrüchte,"ein altes Weib gewährt den Früchten des jüngsten Bruders die Heilkraft; er gewinnt die Hand der Prinzessin (Grimm No. 165, Gg 18 A).",The healing fruits,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,610–619,Zauberheilmittel,,"165, Gg 18 A",29
611,611,611,,Die Gaben des Zwerges,der Sohn eines Kaufmanns mit der Tochter eines anderen Kaufmanns verlobt; der Jüngling auf dem Meere; erhält zum Lohn für die Rettung eines Kindes Zaubergegenstände u. a. eine Zaubersalbe; er heilt die kranke Königstochter (den König) und besiegt ein feindliches Heer; kehrt als reicher Mann heim und heiratet seine Jugendliebe (Gg No. 89).,The gifts of the dwarf,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,610–619,Zauberheilmittel,89,,29
612,612,612,,Die drei Schlangenblätter,"ein Mann lässt sich mit seiner gestorbenen Frau in das Grabgewölbe einschliessen; sieht, wie eine Schlange mittels dreier Blätter eine andere Schlange wieder lebendig macht; ruft auf gleiche Weise seine Frau wieder ins Leben zurück (Grimm No. 16). [Der Geist im Glas, siehe No. 331.]",The three snake-leaves,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,610–619,Zauberheilmittel,,16,29
613,613,613,,Die beiden Wanderer (Lüge und Wahrheit),"der eine sticht dem anderen die Augen aus; der Blinde erlauscht unter einem Baume (Galgen) Geheimnisse und erhält seine Sehkraft wieder; dem bösen Kameraden werden die Augen ausgestochen oder er wird getötet (Grimm No. 107, Gg No. 70). [Der verbotene Schrein, siehe No. 313 B].",The two travelers (Falsehood and Truth),II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,610–619,Zauberheilmittel,70,"107, Gg No",29
620,620,620,,Die Geschenke,von zwei Schwestern weigert sich die hochmütige einem alten Weibe zu helfen; erhält ein vom Zauberstabe der Alten hervorgebrachtes Schloss und wird Königin; wegen ihres Hochmutes wird sie verjagt; die Schwester erhält ein glückbringendes Geschenk (Gg No. 75).,The presents,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,75,,30
621,621,621,,Das Lausfell,"der Jüngling errät, gewinnt die Königstochter; wem sie sich in der Nacht zuwendet (vgl. No. 425 B, 571–574, 559, 850).",The louse-skin,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürlicher Gegenstand,,,,,30
650 A,650,650,A,Der starke Hans,"in der Schmiede, im Brunnen, im Kriege, beim Holzeinfahren, als Vielesser u. s. w. (vgl. No. 301 B) (Grimm No. 90, Gg No. 5 B).",Strong Hans,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliches Können oder Wissen,,,5 B,"90, Gg No",30
650 B,650,650,B,,"Der Jüngling zieht aus, um einen starken Gegner zu suchen; schläft zwischen zwei starken Männern; entflieht; der Angler ringt mit den Verfolgern und besiegt sie.",,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliches Können oder Wissen,,,,,30
652,652,652,,"Der Königssohn, dessen Gedanken immer in Erfüllung gehn","der Knabe wird geraubt; der König schliesst seine Gemahlin in einen Turm ein; der Knabe wächst heran, rächt sich an dem Manne, der ihn geraubt hatte; tritt als Jäger in den Dienst des Königs, entdeckt diesem die Wahrheit. (Braut in Gestalt einer Nelke) (Grimm No. 76).",The king's son whose thoughts always come true,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliches Können oder Wissen,,,,76,30
653,653,653,,Die vier kunstreichen Brüder,"der Vater schickt sie in die Lehre; alle legen glänzende Proben ihrer Kunstfertigkeit ab; das Vogelnest auf dem Baum; schaffen die geraubte Königstochter wieder herbei (vgl. No. 513, 514) (Grimm No. 129, Gg No. 9 C).",The four skillful brothers,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliches Können oder Wissen,,,9 C,"129, Gg No",30
654,654,654,,Die drei Brüder,"vom Vater in die Lehre geschickt; Handwerksproben: der Fechtmeister schwenkt seinen Degen so, dass er im heftigen Regen nicht nass wird, der Barbier rasiert einen laufenden Hasen u. s. w. (Grimm No. 124).",The three brothers,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliches Können oder Wissen,,,,124,30
660,660,660,,Die drei Doktoren,"das Herz des Schweines, die Hand des Diebes, das Auge der Katze (Grimm No. 118).",The three doctors,II. Eigentliche Märchen,A. Zaubermärchen,Übernatürliches Können oder Wissen,,,,118,31
